jockey_id,jockey_name
05180,矢内　博
05181,Ｋ．ユー
05182,中村　裕司
05183,南郷　家全
05184,Ｇ．フーバー
05185,中越　豊光
05186,酒井　作男
05187,山本　泉
05188,前野　幸一
05189,橋本　幸次郎
05191,小野　輝彦
05192,中島　裕明
05193,岡元　隆太
05194,倉地　学
05195,上松瀬　竜一
05196,宮下　瞳
05197,見附　正徳
05198,佐藤　庄一郎
05199,左海　誠二
05200,岩本　清隆
05201,矢菅　清志
05202,川本　裕達
05203,岩田　康誠
05204,山田　延由
05205,徳江　涼
05206,山中　尊徳
05207,米田　弘一
05208,尾林　幸二
05209,佐々木　泉
05210,東　真市
05211,小田部　雪
05212,Ｍ．デムーロ
05213,Ｊ．シャヴェス
05214,Ｄ．ブラッドレー
05215,鈴木　正
05216,佐川　久芳
05217,田中　学
05218,村松　学
05219,高橋　文雄
05220,Ｔ．マジョルクリック
05221,畠山　信一
05222,金子　正彦
05223,赤木　高太郎
05224,石川　浩文
05225,唐津　洋介
05226,高木　健
05227,小林　真治
05228,北野　真弘
05229,山口　勲
05230,今野　忠成
05231,Ａ．キングズリーＪｒ．
05232,Ｃ．ルウェルン
05233,Ｎ．ウィリアムソン
05234,Ｔ．ドゥーメン
05235,Ｃ．ゴンボー
05236,Ｐ．カーベリー
05237,Ｂ．スコット
05238,赤見　千尋
05239,満田　英樹
05240,小野　敦
05241,中川　雅之
05242,Ｆ．サンチェス
05243,柴山　雄一
05244,Ｒ．フラッド
05245,竹下　太
05246,Ｋ．ウッドバーン
05247,Ａ．クルホーン
05248,加藤　和博
05249,秋田　実
05250,Ｂ．アン
05251,Ｐ．ナームジュム
05252,Ａ．アルカシッドＪｒ．
05253,Ｃ．チェン
05254,吉田　隆二
05255,権藤　学
05256,山下　貴光
05257,細原　邦央
05258,山本　裕次郎
05259,木村　健
05260,桑野　等
05261,鈴木　勝
05262,菅原　幸弘
05263,保利　良平
05264,Ｄ．ハリソン
05265,蔵重　浩一郎
05266,Ｄ．フローレス
05267,Ｊ．ヴァルディヴィアＪｒ．
05268,佐藤　友則
05269,繁田　健一
05270,松平　幸秀
05271,Ｃ．スミヨン
05272,岡村　裕基
05273,安東　章
05274,田中　浩晃
05275,Ｅ．ラム
05276,高山　伸一
05277,藤川　洋一郎
05278,森田　直哉
05279,Ｓ．ミラー
05280,須田　英之
05281,佐藤　博紀
05282,松浦　政宏
05283,久保　秀男
05284,Ｗ．マーウィング
05285,Ｃ．マンス
05286,服部　茂史
05287,鈴木　義久
05288,小野寺　功
05289,井上　悦児
05290,根岸　良昌
05291,新原　健伸
05292,山本　登志彦
05293,新町　充寿
05294,村上　忍
05295,板倉　範明
05296,米倉　知
05297,Ｄ．ソレンソン
05298,大木　義一
05299,吉原　寛人
05300,葛山　晃平
05301,吉田　晃浩
05302,Ａ．スボリッチ
05303,青山　裕一
05304,Ｖ．エスピノーザ
05305,Ｋ．ファロン
05306,Ｂ．プレブル
05307,Ｍ．ウォーカー
05308,田辺　弘
05309,永島　太郎
05310,Ｗ．ヒルス
05311,上川　将幸
05312,平沢　則雄
05313,丸山　弘之
05314,Ｇ．ビエトリーニ
05315,三上　智也
05316,Ｂ．ドイル
05317,小牧　毅
05318,Ｃ．ソーントン
05319,Ｆ．バラオ
05320,Ｄ．ベラ
05321,Ｌ．オールプレス
05322,Ｔ．マーフィー
05323,Ｒ．グリーン
05324,丹羽　克輝
05325,Ｓ．イム
05326,米田　幸治
05327,五十嵐　恭平
05328,下原　理
05329,倉富　隆一郎
05330,尾林　幸彦
05331,福元　弘二
05332,平瀬　城久
05333,堀場　裕充
05334,Ｒ．ロケット
05335,Ｄ．ボニヤ
05336,Ｄ．バルジュー
05337,Ｆ．コーツィー
05338,渡瀬　和幸
05339,Ｃ．ルメール
05340,沖野　耕二
05341,湯浅　淳一
05342,森　泰斗
05343,宇佐美　亨
05344,Ｆ．リヒ
05345,古川　彰
05346,Ｊ．ティザード
05347,秋元　耕成
05348,岡田　大
05349,加藤　和義
05350,杉村　一樹
05351,小林　靖幸
05352,石崎　駿
